date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2013-07-08,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-09,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-10,NO 15/9-F-11 H,0.0,,,,,,,0.0,0.0,0.0,,production
2013-07-11,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-12,NO 15/9-F-11 H,0.0,,,,,,,0.0,0.0,0.0,,production
2013-07-13,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-14,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-15,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-16,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-17,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-18,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-19,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-20,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-21,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-22,NO 15/9-F-11 H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,production
2013-07-23,NO 15/9-F-11 H,0.0,,,1.1132739583333333,,,,0.0,0.0,0.0,,production
2013-07-24,NO 15/9-F-11 H,7.0,1.92627,0.3522,3.256547708333333,28.04931,18.19463,18.85147,17.85,2772.47,0.0,,production
2013-07-25,NO 15/9-F-11 H,24.0,163.59426,60.31574,8.549130833333333,102.12118,36.96744,72.95519,725.0,108940.11,0.0,,production
2013-07-26,NO 15/9-F-11 H,24.0,,,9.419192291666667,,,,891.48,131386.55,0.0,,production
2013-07-27,NO 15/9-F-11 H,24.0,,,9.322098333333333,,,,886.42,134616.72,0.0,,production
2013-07-28,NO 15/9-F-11 H,0.84,0.0,0.0,2.4642220833333335,0.0,0.0,0.0,56.01,9011.77,0.0,,production
2013-07-29,NO 15/9-F-11 H,4.0,0.0,0.0,2.5369872916666667,0.0,0.0,0.0,123.59,18792.5,0.0,,production
2013-07-30,NO 15/9-F-11 H,24.0,,,9.778704583333333,,,,1032.38,155864.67,0.0,,production
2013-07-31,NO 15/9-F-11 H,5.07514,273.946930842893,105.55136996934074,2.54080375,94.5645861903711,55.95889286005903,66.40376962964568,190.35,29119.73,0.0,,production
2013-08-01,NO 15/9-F-11 H,0.0,316.01419,102.19622,0.0036002083333333333,0.84891,18.78595,0.44904,0.0,0.0,0.0,,production
2013-08-02,NO 15/9-F-11 H,0.0,317.55131,101.74007,0.0,0.8194,16.43745,0.34844,0.0,0.0,0.0,,production
2013-08-03,NO 15/9-F-11 H,15.07486,277.7976793115691,104.93321497566147,6.116181875,96.49553854758187,41.01908329488964,68.44110564543882,590.09,88733.42,0.0,,production
2013-08-04,NO 15/9-F-11 H,24.0,273.5943678723404,105.43976510638298,9.951288085106382,96.20149170212765,52.45528659574468,67.94375042553192,1066.46,161227.0,0.0,,production
2013-08-05,NO 15/9-F-11 H,24.0,272.2984944680851,105.5378,9.758748125,95.51241638297873,55.18434234042553,67.25804978723404,1059.61,160270.49,0.0,,production
2013-08-06,NO 15/9-F-11 H,24.0,271.5609529166667,105.58475020833333,9.882110416666666,95.04157645833334,57.21400520833333,66.796848125,1070.45,160951.3,0.0,,production
2013-08-07,NO 15/9-F-11 H,24.0,271.07159,105.61376416666667,9.788962708333333,94.742645,58.37687208333333,66.511220625,1069.96,160232.47,0.0,,production
2013-08-08,NO 15/9-F-11 H,24.0,270.6905247916667,105.639608125,9.784328333333333,94.51598145833333,58.62706729166667,66.28296291666666,1062.22,159483.76,0.0,,production
2013-08-09,NO 15/9-F-11 H,24.0,270.2450308333333,105.66749916666667,9.914905208333334,94.29819604166667,57.726496875,66.06279395833333,1074.0,162196.78,0.0,,production
