date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-03-01,NO 15/9-F-12 H,24.0,286.89159270833335,105.90908916666666,31.061881458333332,108.82683041666667,74.60420416666666,75.57316458333334,3068.48,447584.12,0.46,,production
2008-03-02,NO 15/9-F-12 H,24.0,286.2646760416667,105.91060979166667,31.087440625,108.32104791666667,75.21838166666667,74.76162354166667,3066.54,446144.0,0.46,,production
2008-03-03,NO 15/9-F-12 H,24.0,285.7278645833333,105.91012166666667,30.964471666666668,108.05924354166666,75.12426770833333,74.36059666666667,3043.54,443726.0,0.46,,production
2008-03-04,NO 15/9-F-12 H,24.0,285.38199645833333,105.90365333333334,30.60221479166667,108.07511520833333,74.28098166666666,74.440533125,2983.19,430246.72,0.45,,production
2008-03-05,NO 15/9-F-12 H,24.0,284.82887520833333,105.901836875,30.576489375,107.86928604166667,72.50000458333334,74.26244208333334,2967.05,437688.2,0.45,,production
2008-03-06,NO 15/9-F-12 H,24.0,284.29474416666665,105.89892395833333,30.588812291666667,107.31038708333334,75.002263125,73.37481875,2950.88,432727.0,1.74,,production
2008-03-07,NO 15/9-F-12 H,22.83333,284.4236820464207,105.87815328384866,28.82495914893617,107.75368845286255,71.04161479623866,73.56844323040923,2656.62,391264.6,1.57,,production
2008-03-08,NO 15/9-F-12 H,23.0,284.41314560476957,105.87122208381739,27.948245625,108.03144662615652,69.25238060082174,73.79513616954348,2578.48,365769.0,1.52,,production
2008-03-09,NO 15/9-F-12 H,24.0,282.38606708333333,105.90461208333333,31.159112291666666,105.929501875,73.13843854166667,71.56222083333333,2996.83,427791.0,1.77,,production
2008-03-10,NO 15/9-F-12 H,24.0,281.52225791666666,105.90640479166667,31.305012916666666,105.28964604166667,73.336445625,71.062263125,3021.4,440679.0,0.6,,production
2008-03-11,NO 15/9-F-12 H,24.0,280.89443895833335,105.90751458333334,31.370029791666667,104.81075833333334,73.97056604166667,71.28340645833333,3010.4,450972.0,0.6,,production
2008-03-12,NO 15/9-F-12 H,23.775,281.0849126182965,105.89505798107255,29.858670416666666,105.05287027339642,73.8896192849632,71.86801609884333,2794.44,418887.0,0.56,,production
2008-03-13,NO 15/9-F-12 H,24.0,279.48820041666664,105.91619208333333,31.642544791666666,103.44132125,75.30865770833333,70.45069875,3058.89,458524.0,0.61,,production
2008-03-14,NO 15/9-F-12 H,23.83334,279.1117827797153,105.911560155358,30.926781875,103.21944343405917,75.17220465653996,70.39306300246629,2964.81,428015.0,0.59,,production
2008-03-15,NO 15/9-F-12 H,24.0,277.9511014583333,105.91543125,32.074124166666664,102.14000020833333,76.26216916666667,69.867086875,3131.37,454137.0,0.63,,production
2008-03-16,NO 15/9-F-12 H,24.0,277.2925220833333,105.91714041666667,32.051666041666664,101.73907708333333,76.00387541666667,69.81334354166667,3135.37,454798.0,0.63,,production
2008-03-17,NO 15/9-F-12 H,24.0,276.5644272916667,105.92080104166666,32.07361645833333,101.29906770833334,75.24527354166666,69.32178916666666,3143.37,470240.0,0.63,,production
2008-03-18,NO 15/9-F-12 H,24.0,275.9827633333333,105.91885083333334,32.04643958333333,100.91081291666667,75.37564625,69.07361270833333,3132.37,425284.44,0.63,,production
2008-03-19,NO 15/9-F-12 H,24.0,275.36289,105.91795270833333,32.04521979166667,100.45982625,75.592860625,69.104665625,3139.62,454093.33,0.63,,production
2008-03-20,NO 15/9-F-12 H,24.0,274.79269416666665,105.91529458333333,32.01249270833333,100.12426729166667,74.67778979166667,68.91775583333333,3156.67,467465.72,0.63,,production
2008-03-21,NO 15/9-F-12 H,24.0,274.07213145833333,105.91596291666667,32.087249791666665,99.573733125,75.35609145833334,68.25330854166667,3192.14,458447.4,0.64,,production
2008-03-22,NO 15/9-F-12 H,24.0,273.4561072916667,105.91546583333333,32.078392083333334,99.17249604166666,75.31876208333334,67.79460145833333,3172.12,458028.49,0.63,,production
2008-03-23,NO 15/9-F-12 H,24.0,272.8807791666667,105.91282166666667,32.060703333333336,98.79285979166667,75.35283,67.40523645833333,3160.26,466335.26,0.63,,production
2008-03-24,NO 15/9-F-12 H,24.0,272.2367566666667,105.91278583333333,32.128393958333334,98.40192666666667,74.81191020833333,67.01133229166666,3153.35,468479.65,0.63,,production
2008-03-25,NO 15/9-F-12 H,24.0,271.6835775,105.910075,32.04209770833333,98.039305625,74.95929104166666,66.66065520833334,3130.58,406562.1,0.63,,production
2008-03-26,NO 15/9-F-12 H,7.475,271.41853888346486,105.90749495601338,30.925418125,97.89670598445485,75.25957300271573,66.57849645505017,960.26,113341.21,1.64,,production
2008-03-27,NO 15/9-F-12 H,0.0,283.71034,104.02986,,1.17817,6.73056,1.1641,0.0,0.0,0.0,,production
2008-03-28,NO 15/9-F-12 H,1.19167,279.416225172489,104.7140106968372,21.333333333333332,92.24119599612308,24.1,68.20676057045995,73.44,48936.44,0.13,,production
2008-03-29,NO 15/9-F-12 H,24.0,271.4679408510638,105.87037574468086,32.0,97.27687106382979,69.26225104166667,65.74240063829787,3137.26,509074.88,3.39,,production
2008-03-30,NO 15/9-F-12 H,10.975,270.7423821963645,105.90239513398633,30.682608695652174,97.36943237402278,73.10559218599545,66.01919978432802,1430.95,137396.4,1.55,,production
2008-03-31,NO 15/9-F-12 H,14.025,271.55701546581884,105.86170087728651,31.0,98.1215243705952,70.45153593680591,67.12907305714603,1950.58,378532.95,1.93,,production
2008-04-01,NO 15/9-F-12 H,24.0,270.35961895833333,105.88914770833334,29.812026875,97.43138416666666,73.53712708333333,66.38622729166667,3060.6,457837.18,2.82,,production
2008-04-02,NO 15/9-F-12 H,24.0,269.64498145833335,105.8938425,31.818380416666667,96.65849041666667,75.81015104166667,65.59519354166666,3053.67,461808.99,2.81,,production
2008-04-03,NO 15/9-F-12 H,24.0,268.861676875,105.89730333333333,32.000954166666666,96.11653229166667,75.9211225,65.052414375,3103.12,372985.57,2.86,,production
2008-04-04,NO 15/9-F-12 H,24.0,268.1804975,105.89705395833333,32.081197708333335,95.69058604166666,75.217224375,64.618748125,3110.68,463717.13,2.86,,production
2008-04-05,NO 15/9-F-12 H,24.0,267.456426875,105.894669375,32.20087375,95.14026958333334,75.46119354166666,63.91880625,3303.3,463529.9,3.04,,production
2008-04-06,NO 15/9-F-12 H,24.0,266.85520041666666,105.88659041666666,32.21080020833333,94.78838479166667,75.40590875,63.12111875,3028.41,440906.09,153.36,,production
2008-04-07,NO 15/9-F-12 H,24.0,266.4763933333333,105.87188041666667,32.033210625,94.73985791666667,75.26976895833333,63.17009354166667,2998.8,452369.44,151.86,,production
2008-04-08,NO 15/9-F-12 H,24.0,265.8998741666667,105.86069083333334,32.04783125,94.54419041666667,74.62930458333334,62.824872291666665,3054.12,451030.48,4.34,,production
2008-04-09,NO 15/9-F-12 H,24.0,265.3951304166667,105.85311104166666,32.00002729166667,94.21746708333333,74.83526625,62.790674375,3025.8,463595.31,4.91,,production
2008-04-10,NO 15/9-F-12 H,24.0,264.9207029787234,105.84648425531915,31.251858333333335,93.81179744680851,75.41270404255319,62.24724106382979,3003.22,468712.0,4.09,,production
2008-04-11,NO 15/9-F-12 H,24.0,264.33433,105.840110625,31.944148125,93.62225645833334,74.19776541666667,62.06976708333333,3015.97,458936.65,10.44,,production
2008-04-12,NO 15/9-F-12 H,12.975,264.00822024228904,105.83777149994604,30.885044814814815,93.1491572691946,73.89495642494028,61.656020290558764,1615.37,242280.01,2.91,,production
2008-04-13,NO 15/9-F-12 H,4.0,268.09569625,105.48024875,25.82295625,93.6176275,48.68236,63.31145,429.77,65731.44,1.73,,production
2008-04-14,NO 15/9-F-12 H,21.26,265.6112954166667,105.6165925,28.763500416666666,83.88394770833334,64.02058791666667,56.13802375,2578.63,413142.56,3.62,,production
2008-04-15,NO 15/9-F-12 H,20.55,263.6763463329865,105.81841322321014,32.060503947368424,93.03739752580373,74.1666946999388,61.2840258920808,2494.26,400308.2,3.5,,production
2008-04-16,NO 15/9-F-12 H,24.0,263.01012607283184,105.64635186289084,31.904078484848483,92.99972604998787,74.46350660898706,61.32164096458679,2847.56,462314.88,3.99,,production
2008-04-17,NO 15/9-F-12 H,9.375,262.977608,105.808794,31.653475789473685,92.81152573333334,74.87069133333334,61.079362,1120.57,184080.6,1.1,,production
2008-04-18,NO 15/9-F-12 H,21.57,263.1737115188668,105.78555850157136,31.718743170731706,92.88439537693013,72.28045642020047,61.13688732085631,2448.14,372536.86,2.4,,production
2008-04-19,NO 15/9-F-12 H,22.71203,263.1419007844741,105.7766075477225,30.033491276595743,93.0214783483863,73.2267499352986,61.732701759921945,2513.65,383126.44,2.47,,production
2008-04-20,NO 15/9-F-12 H,24.0,262.1704129166667,105.78688166666667,31.483217083333333,92.63852645833333,75.04618583333334,61.000593333333335,2752.75,418498.59,2.7,,production
2008-04-21,NO 15/9-F-12 H,24.0,261.610255,105.78262708333334,31.519783541666666,92.32563625,74.86361916666667,60.68912354166667,2752.3,426345.05,2.7,,production
2008-04-22,NO 15/9-F-12 H,24.0,261.11465395833335,105.77734729166667,31.483014375,92.16888729166666,74.24991270833333,60.5470925,2737.24,422378.97,2.31,,production
